[210]		一	×一
[881]		侠	⿰{亻,来}
[882]		価	⿰{亻,⻃}
[883]		侮	⿰{亻,毎}
[884]		免	⿱{⿻⿱{⺈,日},儿}
[885]		兎	⿻⿸{⿻⿸{⿻×{⿱{ノ,口},丿},乚},丶}
[887]		其	⿱{且,ハ}
[888]		具	⿳{目,一,ハ}
[890]		典	⿱{曲,ハ}
[891]		凭	⿱{任,几}
[892]		函	⿶{⿻⿲{⿰{ン,⿻⿱{ノ,乀}},丂},凵}
[893]		刮	⿰{舌,刂}
[894]		到	⿰{至,刂}
[895]		刳	⿰{夸,刂}
[896]		制	⿰{⿻×{⿻↖{ノ,二},巾},刂}
[897]		刷	⿰{⿸{尸,巾},刂}
[898]		券	⿱{龹,刀}
[899]		刹	⿰{⿱{㐅,木},刂}
[900]		刺	⿰{朿,刂}
[901]		刻	⿰{亥,刂}
[902]		効	⿰{交,刂}
[903]		卒	⿱{亠,𠦏}
[904]		卓	⿻⿱{⺊,早}
[905]		協	⿰{十,劦}
[906]		卦	⿰{圭,卜}
[907]		卷	⿵{⿻⿱{ハ,⿻⿱{一,大}},己}
[908]		参	⿵{⿱{厶,大},彡}
[909]		叔	⿰{尗,又}
[910]		取	⿸{耳,又}
[911]		受	⿱{⿱{⺤,冖},又}
[912]		呟	⿰{口,玄}
[913]		周	⿵{⺆,吉}
[914]		呪	⿰{口,兄}
[915]		味	⿰{口,未}
[916]		呵	⿰{口,可}
[917]		呶	⿰{口,奴}
[918]		呷	⿰{口,甲}
[919]		呻	⿰{口,申}
[920]		呼	⿰{口,乎}
[921]		命	⿵{人,⿱{一,叩}}(⿵{人,⿱{ヽ,叩}})
[922]		咀	⿰{口,且}
[923]		咄	⿰{口,出}
[924]		咆	⿰{口,包}
[925]		和	⿰{禾,口}
[926]		咎	⿵{⿺{夂,人},口}
[927]		囹	⿴{囗,令}
[928]		固	⿴{囗,古}
[929]		国	⿴{囗,玉}
[930]		坤	⿰{土,申}
[931]		坦	⿰{土,旦}
[932]		坩	⿰{土,甘}
[933]		坪	⿰{土,平}
[935]		垂	⿻⿱{⿻⿱{ノ,$11},一}
[936]		夜	⿱{亠,⿰{亻,⿻×{夕,乀}}}(⿱{亠,⿰{亻,⿴{夂,丶}}})
[937]		奄	⿵{大,电}
[938]		奇	⿱{大,可}
[939]		奈	⿵{大,示}
[940]		奉	⿵{𡗗,⿻⿱{一,十}}
[941]		奔	⿵{大,卉}
[942]		妬	⿰{女,石}
[943]		妹	⿰{女,未}
[944]		妻	⿱{⿻⿱{十,⺕},女}
[945]		妾	⿱{立,女}
[946]		姉	⿰{女,市}
[947]		始	⿰{女,台}
[948]		姐	⿰{女,且}
[949]		姑	⿰{女,古}
[950]		姓	⿰{女,生}
[951]		委	⿱{禾,女}
[952]		孟	⿱{子,皿}
[953]		季	⿱{禾,子}
[954]		学	⿱{⿱{⺍,冖},子}
[955]		宕	⿱{宀,石}
[956]		宗	⿱{宀,示}
[957]		官	⿱{宀,㠯}
[958]		宙	⿱{宀,由}
[959]		定	⿱{宀,疋}
[960]		宛	⿱{宀,夘}
[961]		宜	⿱{宀,且}
[962]		宝	⿱{宀,玉}
[963]		実	⿱{宀,美}
[964]		尚	⿻⿱{⺌,冋}
[965]		居	⿸{尸,古}
[966]		屈	⿸{尸,出}
[967]		届	⿸{尸,由}
[968]		岡	⿵{冂,⿻⿱{⿻⿱{䒑,丨},山}}
[969]		岨	⿰{山,且}
[970]		岩	⿱{山,石}
[971]		岳	⿱{丘,山}
[972]		岸	⿱{山,厈}
[973]		峅	⿰{山,弁}
[974]		帖	⿰{巾,占}
[975]		帚	⿱{⺕,⿻⿱{冖,巾}}
[976]		幸	⿱{土,𢆉}
[977]		底	⿸{广,氐}
[978]		庖	⿸{广,包}(⿸{广,⿹{勹,巳}})
[979]		店	⿸{广,占}
[980]		庚	⿸{广,⿻×{⺕,人}}
[981]		府	⿸{广,付}
[982]		延	⿺{廴,⿻⿱{ノ,止}}
[983]		弥	⿰{弓,尓}
[984]		弦	⿰{弓,玄}
[985]		弩	⿱{奴,弓}
[986]		彼	⿰{彳,皮}
[987]		往	⿰{彳,主}
[988]		征	⿰{彳,正}
[989]		徂	⿰{彳,且}
[990]		径	⿰{彳,圣}
[991]		忝	⿵{夭,⺗}
[992]		忠	⿱{中,心}
[993]		念	⿱{今,心}
[994]		忽	⿱{勿,心}
[995]		忿	⿱{分,心}
[996]		怏	⿰{忄,央}
[997]		怖	⿰{忄,布}
[998]		怙	⿰{忄,古}
[999]		怜	⿰{忄,令}
[1000]		性	⿰{忄,生}
[1001]		怪	⿰{忄,圣}
[1002]		怫	⿰{忄,弗}
[1003]		怯	⿰{忄,去}
[1004]		或	⿹{戈,⿱{口,一}}
[1005]		房	⿸{戸,方}
[1006]		所	⿸{戸,斤}
[1007]		承	⿻×{氶,三}
[1008]		披	⿰{扌,皮}
[1009]		抱	⿰{扌,包}
[1010]		抵	⿰{扌,氐}
[1011]		抹	⿰{扌,末}
[1012]		押	⿰{扌,甲}
[1013]		抽	⿰{扌,由}
[1014]		担	⿰{扌,旦}
[1015]		拇	⿰{扌,母}
[1016]		拈	⿰{扌,占}
[1017]		拉	⿰{扌,立}
[1018]		拍	⿰{扌,白}
[1019]		拐	⿰{扌,叧}
[1020]		拒	⿰{扌,巨}
[1021]		拓	⿰{扌,石}
[1022]		拗	⿰{扌,幻}
[1023]		拘	⿰{扌,句}
[1024]		拙	⿰{扌,出}
[1025]		招	⿰{扌,召}
[1026]		拝	⿰{扌,⿻⿱{一,丰}}
[1027]		拠	⿰{扌,処}
[1028]		拡	⿰{扌,広}
[1029]		放	⿰{方,攵}
[1030]		斉	⿵{文,⿻⿲{⿰{丿,丨},二}}(⿵{⻬,二})
[1031]		斧	⿱{父,斤}
[1032]		於	⿰{方,⿱{人,⺀}}
[1033]		旺	⿰{日,王}
[1034]		昂	⿱{日,卬}
[1035]		昆	⿱{日,比}
[1036]		昇	⿱{日,升}
[1037]		昌	⿱{日,日}
[1038]		明	⿰{日,月}
[1039]		昏	⿱{氏,日}
[1040]		易	⿱{日,勿}
[1041]		昔	⿱{⿻⿱{卄,一},日}
[1042]		朋	⿰{月,月}
[1043]		服	⿰{月,𠬝}
[1044]		杭	⿰{木,亢}
[1045]		杯	⿰{木,不}
[1047]		東	⿻×{木,日}(⿻⿱{⿻×{⿱{一,日},丨},人})
[1048]		杵	⿰{木,牛}
[1049]		杷	⿰{木,巴}
[1050]		松	⿰{木,公}
[1051]		板	⿰{木,反}
[1052]		枇	⿰{木,比}
[1053]		枉	⿰{木,王}
[1054]		析	⿰{木,斤}
[1055]		枕	⿰{木,冘}
[1056]		林	⿰{木,木}
[1057]		枚	⿰{木,攵}
[1058]		果	⿱{田,木}
[1059]		枝	⿰{木,支}
[1060]		枠	⿰{木,卆}
[1061]		枡	⿰{木,升}
[1062]		枢	⿰{木,区}
[1063]		欣	⿰{斤,欠}
[1064]		欧	⿰{区,欠}
[1065]		武	⿹{↖{一,戈},止}
[1066]		歩	⿻⿱{止,少}
[1067]		歿	⿰{歹,⿰{⺈,又}}
[1068]		殴	⿰{区,殳}
[1069]		毒	⿱{王,毋}
[1070]		毟	⿱{少,毛}
[1071]		沓	⿱{水,白}
[1072]		沛	⿰{氵,市}
[1073]		沫	⿰{氵,末}
[1074]		沮	⿰{氵,且}
[1075]		河	⿰{氵,句}
[1076]		沸	⿰{氵,弗}
[1077]		油	⿰{氵,由}
[1078]		治	⿰{氵,台}
[1079]		沼	⿰{氵,召}
[1080]		沽	⿰{氵,古}
[1081]		沿	⿰{氵,⿱{八,口}}
[1082]		況	⿰{氵,兄}
[1083]		泊	⿰{氵,白}
[1084]		泌	⿰{氵,必}
[1085]		法	⿰{氵,去}
[1086]		泡	⿰{氵,包}
[1087]		波	⿰{氵,皮}
[1088]		泣	⿰{氵,立}
[1089]		泥	⿰{氵,尼}
[1090]		注	⿰{氵,主}
[1091]		泳	⿰{氵,永}
[1092]		炉	⿰{火,戸}
[1093]		炊	⿰{火,欠}
[1094]		炎	⿱{火,火}
[1095]		炒	⿰{火,少}
[1097]		炙	⿱{⿹{夕,丶},火}(⿱{⿴{夕,丶},火})
[1098]		爬	⿺{爪,巴}
[1099]		版	⿰{片,反}
[1100]		牧	⿰{牜,攵}
[1101]		物	⿰{牜,勿}
[1102]		狎	⿰{犭,甲}
[1103]		狒	⿰{犭,弗}
[1104]		狙	⿰{犭,且}
[1105]		狛	⿰{犭,白}
[1106]		玩	⿰{𤣩,元}
[1107]		画	⿶{⿻⿱{一,由},凵}
[1108]		疚	⿸{疒,久}
[1109]		疝	⿸{疒,山}
[1110]		的	⿰{白,勺}
[1111]		盂	⿱{于,皿}
[1112]		盲	⿱{亡,目}
[1113]		直	⿺{㇄,⿻⿱{十,目}}
[1114]		知	⿰{矢,口}
[1115]		祀	⿰{示,巳}
[1116]		祇	⿰{示,氏}
[1117]		祈	⿰{⺭,斤}
[1118]		穹	⿱{⿻⿱{宀,儿},弓}
[1119]		空	⿱{⿻⿱{宀,儿},工}
[1120]		突	⿱{⿻⿱{宀,儿},大}
[1121]		者	⿻⿱{⺹,日}
[1122]		股	⿰{月,殳}
[1123]		肢	⿰{月,支}
[1124]		肥	⿰{月,巴}
[1125]		肩	⿸{戸,月}
[1126]		肪	⿰{月,方}
[1127]		肭	⿰{月,内}
[1128]		肯	⿱{止,月}
[1129]		育	⿱{⿻⿱{亠,厶},月}
[1130]		舎	⿵{人,吉}
[1131]		芽	⿱{⺾,牙}
[1132]		苔	⿱{⺾,台}
[1133]		苗	⿱{⺾,田}
[1134]		苛	⿱{⺾,可}
[1135]		苜	⿱{⺾,目}
[1136]		苟	⿱{⺾,句}
[1137]		若	⿱{⺾,右}
[1138]		苦	⿱{⺾,古}
[1139]		苧	⿱{⺾,宇}
[1140]		苫	⿱{⺾,占}
[1141]		英	⿱{⺾,央}
[1142]		苹	⿱{⺾,⿻×{⿱{一,丷},十}}(⿱{⺾,平})
[1143]		茂	⿱{⺾,戊}
[1144]		茄	⿱{⺾,加}
[1145]		茅	⿱{⺾,矛}
[1146]		茉	⿱{⺾,末}
[1147]		虎	⿸{虍,儿}
[1148]		虱	⿹{⺄,⿻⿱{ノ,虫}}
[1149]		表	⿻⿱{龶,𧘇}
[1150]		軋	⿰{車,乚}
[1151]		迦	⿺{⻍,加}
[1152]		迫	⿺{⻌,白}
[1153]		述	⿺{⻌,朮}
[1154]		邪	⿰{牙,阝}
[1155]		邯	⿰{甘,阝}
[1156]		邸	⿰{氐,阝}
[1157]		采	⿱{⺤,木}
[1158]		金	⿵{人,⿻⿱{干,䒑}}
[1160]		長	⿻⿱{⿻⿱{⿻×{⿻×{一,丨},二},一},⿻⿰{レ,⿻⿱{ノ,乀}}}
[1161]		門	⿰{𠃜,𠃛}
[1162]		阜	⿻⿱{𠂤,十}
[1163]		阻	⿰{阝,且}
[1164]		阿	⿰{阝,可}
[1165]		陀	⿰{阝,它}
[1166]		附	⿰{阝,付}
[1167]		雨	⿻×{帀,⿰{⺀,⺀}}
[1168]		青	⿱{龶,月}
[1169]		非	⿰{⿻⿰{丿,⿱{二,㇀}},⿻⿰{丨,三}}
[1172]		乗	⿻⿱{⿻⿱{ノ,$11},人}
[1173]		亭	⿱{⿱{⿱{亠,口},冖},丁}
[1174]		亮	⿱{⿱{⿱{亠,口},冖},儿}
[1201]		侯	⿰{亻,⿱{⿻⿱{乛,一},矢}}(×矦)
[1202]		侵	⿰{亻,⿱{⿱{⺕,冖},又}}
[1203]		便	⿰{亻,更}
[1204]		係	⿰{亻,系}
[1205]		促	⿰{亻,足}
[1206]		俄	⿰{亻,我}
[1207]		俊	⿰{亻,夋}
[1208]		俎	⿰{仌,且}
[1209]		俗	⿰{亻,谷}
[1210]		俘	⿰{亻,⿱{⺤,子}}
[1211]		俚	⿰{亻,里}
[1212]		保	⿰{亻,呆}
[1213]		信	⿰{亻,言}
[1214]		冒	⿱{日,目}
[1215]		冠	⿱{冖,⿺{元,寸}}
[1216]		剃	⿰{弟,刂}
[1217]		則	⿰{貝,刂}
[1218]		削	⿰{肖,刂}
[1219]		剋	⿺{克,刂}
[1220]		前	⿱{䒑,刖}
[1221]		勃	⿰{孝,力}
[1222]		勅	⿰{束,力}
[1223]		勇	⿻⿱{龴,男}
[1224]		匍	⿹{勹,甫}
[1225]		卑	⿱{甶,↖{丶,十}}
[1226]		南	⿵{⿻⿱{十,冂},𢆉}
[1227]		単	⿱{⺍,⿻×{旦,丨}}(⿱{畄,十})
[1228]		卸	⿰{⿻⿱{⿱{𠂉,一},止},卩}(⿰{⿻⿱{午,止},卩})
[1229]		厖	⿸{厂,尨}
[1230]		厚	⿸{厂,⿱{日,子}}
[1231]		叙	⿰{余,又}
[1233]		叛	⿰{⿻×{𡭔,二},反}
[1234]		呱	⿰{口,瓜}
[1235]		咫	⿺{尺,只}
[1236]		咬	⿰{口,交}
[1237]		咲	⿰{口,⿱{丷,天}}
[1238]		咳	⿰{口,亥}
[1239]		咸	⿵{戊,⿱{一,口}}
[1240]		咽	⿰{口,因}
[1241]		哀	⿱{亠,⿻⿱{口,𧘇}}
[1242]		品	⿱{口,吅}
[1243]		哄	⿰{口,共}
[1244]		型	⿱{刑,土}
[1245]		垢	⿰{土,后}
[1246]		垣	⿰{土,亘}
[1247]		城	⿰{土,成}
[1248]		変	⿱{亦,夂}
[1249]		奏	⿵{𡗗,天}
[1250]		契	⿱{⿰{龶,刀},木}
[1251]		姥	⿰{女,老}
[1252]		姦	⿱{女,奻}
[1253]		姨	⿰{女,⿻×{大,弓}}
[1254]		姪	⿰{女,至}
[1255]		姻	⿰{女,因}
[1256]		姿	⿱{次,女}
[1257]		威	⿵{戌,女}
[1258]		孤	⿰{孑,瓜}
[1259]		孩	⿰{孑,亥}
[1260]		客	⿱{宀,各}
[1261]		宣	⿱{宀,亘}
[1262]		室	⿱{宀,至}
[1263]		宥	⿱{宀,有}
[1264]		封	⿰{圭,寸}
[1265]		専	⿱{⿻×{一,由},寸}
[1266]		屋	⿸{尸,至}
[1267]		屍	⿸{尸,死}
[1268]		屎	⿸{尸,米}
[1269]		屏	⿸{尸,并}
[1270]		峙	⿰{山,寺}
[1271]		峠	⿰{山,𠧗}
[1272]		峡	⿰{山,来}
[1273]		巷	⿵{共,己}
[1274]		巻	⿵{龹,己}
[1275]		帝	⿱{⿳{亠,丷,冖},巾}
[1276]		幽	⿻⿶{山,⿰{幺,幺}}
[1277]		度	⿸{⿻⿸{广,廿},又}
[1278]		建	⿺{廴,聿}
[1279]		廻	⿺{廴,回}
[1280]		弧	⿰{弓,瓜}
[1281]		彦	⿸{⿳{亠,丷,厂},彡}
[1282]		待	⿰{彳,寺}
[1283]		律	⿰{彳,聿}
[1284]		後	⿰{彳,⿻⿱{幺,夂}}
[1285]		怒	⿱{奴,心}
[1286]		思	⿱{田,心}
[1287]		怠	⿱{台,心}
[1288]		急	⿱{⿻⿱{⺈,⺕},心}
[1289]		怨	⿱{⿰{夕,⺋},心}
[1290]		怱	⿱{匆,心}
[1291]		恆	⿰{忄,亙}
[1292]		恍	⿰{忄,光}
[1293]		恒	⿰{忄,亘}
[1294]		恟	⿰{忄,匈}
[1295]		恢	⿰{忄,灰}
[1296]		恨	⿰{忄,艮}
[1297]		恪	⿰{忄,各}
[1298]		恫	⿰{忄,同}
[1299]		恬	⿰{忄,舌}
[1300]		恰	⿰{忄,合}
[1301]		悔	⿰{忄,毎}
[1303]		扁	⿸{戶,𠕁}
[1304]		括	⿰{扌,舌}
[1305]		拭	⿰{扌,式}
[1306]		拮	⿰{扌,舌}
[1307]		拱	⿰{扌,共}
[1308]		拵	⿰{扌,存}
[1309]		拷	⿰{扌,考}
[1310]		拾	⿰{扌,合}
[1311]		持	⿰{扌,寺}
[1312]		指	⿰{扌,旨}
[1313]		按	⿰{扌,安}
[1314]		挌	⿰{扌,各}
[1315]		挑	⿰{扌,兆}
[1316]		挟	⿰{扌,来}
[1317]		政	⿰{正,攵}
[1318]		故	⿰{古,攵}
[1319]		施	⿰{方,⿱{𠂉,也}}
[1320]		星	⿱{日,生}
[1321]		映	⿰{日,央}
[1322]		春	⿵{𡗗,日}
[1323]		昧	⿰{日,未}
[1324]		昨	⿰{日,乍}
[1325]		昭	⿰{日,召}
[1326]		是	⿱{日,𤴓}
[1327]		昵	⿰{日,尼}
[1328]		昼	⿵{尺,旦}
[1329]		枯	⿰{木,古}
[1330]		枳	⿰{木,只}
[1331]		架	⿱{加,木}
[1332]		枸	⿰{木,句}
[1333]		柄	⿰{木,丙}
[1334]		柏	⿰{木,白}
[1335]		某	⿻⿱{甘,木}
[1336]		柑	⿰{木,甘}
[1337]		染	⿱{氿,木}
[1338]		柔	⿱{矛,木}
[1339]		柘	⿰{木,石}
[1340]		柚	⿰{木,由}
[1341]		柩	⿰{木,匛}
[1342]		柱	⿰{木,主}
[1343]		柳	⿰{木,卯}
[1344]		査	⿱{木,且}
[1345]		柾	⿰{木,正}
[1346]		柿	⿰{木,市}
[1347]		栂	⿰{木,母}
[1348]		栃	⿰{木,⿸{⺁,万}}
[1349]		栄	⿱{⿱{⺍,冖},木}
[1350]		歪	⿱{不,正}
[1351]		殆	⿰{歹,台}
[1353]		段	⿰{⿻⿱{⿻×{⿻⿱{ノ,丨},二},㇀},殳}
[1354]		毘	⿱{田,比}
[1355]		泉	⿻⿱{白,水}
[1356]		洋	⿰{氵,羊}
[1357]		洒	⿰{氵,西}
[1358]		洗	⿰{氵,先}
[1359]		洛	⿰{氵,各}
[1360]		洞	⿰{氵,同}
[1361]		洟	⿰{氵,夷}
[1362]		津	⿰{氵,聿}
[1363]		洩	⿰{氵,曳}
[1364]		洪	⿰{氵,共}
[1365]		洲	⿰{氵,州}
[1366]		活	⿰{氵,舌}
[1368]		派	⿰{氵,⿸{⺁,⿻⿸{⿻⿱{ノ,丨},⿱{ノ,乀}}}}
[1369]		浄	⿰{氵,争}
[1370]		浅	⿰{氵,㦮}
[1371]		海	⿰{氵,毎}
[1372]		炬	⿰{火,巨}
[1373]		炭	⿱{山,灰}
[1374]		炯	⿰{火,冋}
[1375]		炳	⿰{火,丙}
[1376]		炸	⿰{火,乍}
[1377]		点	⿱{占,灬}
[1379]		為	⿵{⿻×{ソ,⿻⿱{⿻⿱{乛,乛},㇆}},灬}
[1380]		牴	⿰{牜,氐}
[1381]		狐	⿰{犭,瓜}
[1382]		狡	⿰{犭,交}
[1383]		狩	⿰{犭,守}
[1384]		独	⿰{犭,虫}
[1385]		狭	⿰{犭,来}
[1386]		玲	⿰{𤣩,令}
[1387]		玳	⿰{𤣩,代}
[1388]		玻	⿰{𤣩,皮}
[1389]		珂	⿰{𤣩,可}
[1390]		珈	⿰{𤣩,加}
[1391]		珊	⿰{𤣩,冊}
[1392]		珍	⿰{𤣩,㐱}
[1393]		甚	⿻⿱{甘,匹}
[1394]		界	⿻⿱{田,介}
[1395]		畏	⿱{田,⿻⿱{一,𧘇}}
[1396]		畑	⿰{火,田}
[1397]		疥	⿸{疒,介}
[1398]		疫	⿸{疒,殳}
[1399]		癸	⿵{癶,天}
[1400]		発	⿵{癶,⿻×{二,儿}}
[1401]		皆	⿱{比,白}
[1402]		皇	⿱{白,王}
[1403]		盃	⿱{不,皿}
[1404]		盆	⿱{分,皿}
[1405]		盈	⿱{⿻⿵{乃,又},皿}
[1406]		相	⿰{木,目}
[1407]		盾	⿸{⺁,⿻⿱{十,目}}
[1409]		省	⿸{少,目}
[1410]		眇	⿰{目,少}
[1411]		眈	⿰{目,冘}
[1412]		眉	⿸{𠃜,目}
[1413]		看	⿸{龵,目}
[1414]		県	⿺{⿻⿱{㇄,𡭔},目}
[1415]		矜	⿰{矛,今}
[1416]		砂	⿰{石,少}
[1417]		砒	⿰{石,比}
[1418]		研	⿰{石,⿻⿱{一,廾}}
[1419]		砕	⿰{石,卆}
[1420]		祐	⿰{⺭,石}
[1421]		祓	⿰{示,犮}
[1422]		祖	⿰{⺭,且}
[1423]		祝	⿰{⺭,兄}
[1424]		神	⿰{⺭,申}
[1425]		秋	⿰{禾,火}
[1426]		科	⿰{禾,斗}
[1427]		秒	⿰{禾,少}
[1428]		秕	⿰{禾,比}
[1429]		窃	⿱{⿻⿱{宀,儿},切}
[1430]		竿	⿱{⺮,千}
[1431]		笈	⿱{⺮,及}
[1432]		籾	⿰{米,刃}
[1433]		糾	⿰{糸,丩}
[1434]		紀	⿰{糸,己}
[1435]		約	⿰{糸,勺}
[1436]		紅	⿰{糸,工}
[1437]		紆	⿰{糸,于}
[1438]		級	⿰{糸,及}
[1439]		美	⿻⿱{⺷,大}
[1440]		耐	⿰{而,寸}
[1441]		耶	⿰{耳,阝}
[1442]		肺	⿰{月,市}
[1443]		胃	⿱{田,月}
[1444]		胆	⿰{月,旦}
[1445]		背	⿱{北,月}
[1446]		胎	⿰{月,台}
[1447]		胚	⿰{月,丕}
[1448]		胛	⿰{月,甲}
[1449]		胞	⿰{月,包}
[1450]		胡	⿰{古,月}
[1451]		胤	⿻⿲{儿,⿱{幺,月}}(⿲{丿,⿱{幺,月},乚})(⿻×{儿,⿱{幺,月}})
[1452]		臥	⿰{臣,人}
[1453]		臭	⿻⿱{自,大}
[1454]		舁	⿻⿱{臼,廾}
[1455]		茗	⿱{⺾,名}
[1456]		茘	⿱{⺾,劦}
[1457]		茜	⿱{⺾,西}
[1458]		茨	⿱{⺾,次}
[1459]		茫	⿱{⺾,汒}
[1460]		茱	⿱{⺾,矢}
[1461]		茴	⿱{⺾,回}
[1463]		茶	⿱{⺾,⿵{人,ホ}}
[1464]		茸	⿱{⺾,耳}
[1465]		茹	⿱{⺾,如}
[1466]		草	⿱{⺾,早}
[1467]		荊	⿱{⺾,刑}
[1468]		荏	⿱{⺾,任}
[1469]		荒	⿱{⺾,⿱{亡,⿲{丿,丨,乚}}}
[1470]		荘	⿱{⺾,壮}
[1471]		虐	⿺{虍,⿻⿷{匚,一}}
[1472]		虹	⿰{虫,工}
[1473]		衷	⿻⿱{⿻⿱{十,口},𧘇}
[1474]		衿	⿰{⻂,今}
[1475]		袂	⿰{⻂,夬}
[1476]		要	⿱{⻃,女}
[1477]		訂	⿰{言,丁}
[1478]		訃	⿰{言,ト}
[1479]		計	⿰{言,十}
[1480]		貞	⿻⿱{⺊,貝}
[1481]		負	⿻⿱{⺈,貝}
[1482]		赴	⿺{走,ト}
[1483]		軌	⿰{車,九}
[1484]		軍	⿱{冖,車}
[1485]		迷	⿺{⻌,米}
[1486]		追	⿺{⻌,𠂤}
[1487]		退	⿺{⻌,艮}
[1488]		送	⿺{⻌,⿻⿱{丷,天}}
[1489]		逃	⿺{⻌,兆}
[1490]		逆	⿺{⻌,屰}
[1491]		郁	⿰{有,阝}
[1492]		郊	⿰{交,阝}
[1493]		郎	⿰{⿻⿸{⿻⿱{⿻⿱{′,∃},レ},ヽ},阝}
[1494]		酋	⿻⿱{丷,酉}
[1495]		重	⿻⿱{⿻×{⿱{⿱{ノ,一},日},丨},二}
[1496]		陋	⿰{阝,⿺{㇄,丙}}
[1497]		限	⿰{阝,艮}
[1499]		面	⿻⿱{⿻⿱{一,′},⿻⿱{⿻×{冂,⿻×{⿰{丨,丨},二}},一}}(⿻⿱{⿻⿱{一,′},回})
[1500]		革	⿻⿱{廿,⿻⿱{中,一}}
[1501]		音	⿱{立,日}
[1502]		頁	⿻⿱{⿻⿱{一,′},貝}(⿱{⿱{⿻一,自},ハ})
[1503]		風	⿵{⺇,⿻⿱{ノ,虫}}
[1504]		飛	⿹{𠃧,⿰{⿻⿱{ノ,丿},丨}}
[1505]		食	⿵{人,良}
[1506]		首	⿻⿱{䒑,自}
[1507]		香	⿱{禾,日}
[1509]		修	⿰{亻,⿰{丨,⿵{夂,彡}}}
[1510]		俯	⿰{亻,府}
[1511]		俳	⿰{亻,非}
[1512]		俵	⿰{亻,表}
[1513]		俸	⿰{亻,奉}
[1514]		倉	⿵{人,⿸{戸,⿱{一,口}}}
[1515]		個	⿰{亻,固}
[1516]		倍	⿰{亻,咅}
[1517]		倒	⿰{亻,到}
[1519]		候	⿰{亻,⿸{⿰{丨,⿻⿱{乛,一}},矢}}(⿰{亻,矦})
[1520]		借	⿰{亻,昔}
[1521]		倣	⿰{亻,放}
[1522]		値	⿰{亻,直}
[1523]		倨	⿰{亻,居}
[1524]		倫	⿰{亻,侖}
[1525]		倭	⿰{亻,委}
[1526]		倶	⿰{亻,具}
[1527]		倹	⿰{亻,⿵{人,⿻×{⿱{一,口},人}}}(⿰{亻,⿵{人,吏}})
[1528]		党	⿱{龸,兄}
[1529]		兼	⿻×{⿻×{⿱{䒑,⺕},⿰{丨,丨}},八}
[1530]		冤	⿱{冖,⿻⿸{⿱{刀,⿻⿸{⿻⿱{口,丿},乚}},丶}}(⿱{冖,⿻⿸{免,丶}})
[1531]		冥	⿱{冖,⿻⿱{日,六}}
[1532]		凄	⿰{冫,妻}
[1533]		准	⿰{冫,隹}
[1534]		凉	⿰{冫,京}
[1535]		凋	⿰{冫,周}
[1536]		凌	⿰{冫,夌}
[1537]		凍	⿰{冫,東}
[1538]		剔	⿰{易,刂}
[1539]		剖	⿰{咅,刂}
[1540]		剛	⿰{岡,刂}
[1541]		剣	⿰{⿵{人,⿻×{⿱{一,口},人}},刂}(⿰{⿵{人,吏},刂})
[1542]		剤	⿰{斉,刂}
[1543]		剥	⿰{⿻⿱{彐,氺},刂}
[1544]		勉	⿺{免,力}
[1545]		匪	⿷{匚,非}
[1546]		匿	⿷{匚,若}
[1547]		原	⿷{厂,⿻⿱{白,小}}
[1549]		叟	⿻⿱{𦥔,又}
[1550]		員	⿱{口,貝}
[1551]		哥	⿱{可,可}
[1552]		哨	⿰{口,肖}
[1553]		哭	⿱{吅,木}
[1554]		哮	⿰{口,孝}
[1555]		哲	⿱{折,口}
[1556]		哺	⿰{口,甫}
[1557]		唄	⿰{口,貝}
[1558]		唆	⿰{口,夋}
[1559]		唇	⿸{辰,口}
[1560]		唐	⿸{广,⿱{⿻×{⺕,丨},口}}
[1561]		唖	⿰{口,亜}
[1562]		啄	⿰{口,豕}
[1563]		埃	⿰{土,⿻⿱{厶,矢}}
[1564]		埋	⿰{土,里}
[1565]		埒	⿰{土,寽}
[1566]		夏	⿻⿱{⿻⿱{一,自},夂}
[1567]		套	⿵{大,镸}
[1568]		姫	⿰{女,臣}
[1569]		娑	⿱{沙,女}
[1570]		娘	⿰{女,良}
[1571]		娜	⿰{女,那}
[1572]		娯	⿰{女,呉}
[1573]		孫	⿰{孑,系}
[1574]		宦	⿱{宀,臣}
[1575]		宮	⿱{宀,呂}
[1576]		宰	⿱{宀,⿻⿱{立,十}}
[1577]		害	⿱{宀,⿱{龶,口}}
[1578]		宴	⿱{宀,妟}
[1579]		宵	⿱{宀,肖}
[1580]		家	⿱{宀,豕}
[1581]		宸	⿱{宀,辰}
[1582]		容	⿱{宀,谷}
[1583]		射	⿰{身,寸}
[1584]		将	⿰{⺦,⿱{⺤,寸}}
[1585]		屑	⿸{尸,肖}
[1586]		屓	⿸{尸,貝}
[1587]		展	⿸{尸,⿻⿱{⿻⿱{卄,一},𧘇}}
[1588]		峨	⿰{山,我}
[1589]		峯	⿱{山,夆}
[1590]		峰	⿰{山,夆}
[1591]		島	⿹{⿻×{⿱{⿻⿱{′,∃},一},㇉},山}
[1592]		峻	⿰{山,夋}
[1594]		崋	⿰{山,⿻⿱{$11,一}}
[1595]		差	⿱{⿻⿱{⺷,ノ},工}
[1596]		師	⿰{𠂤,帀}
[1597]		席	⿻⿸{⿻⿸{广,廿},巾}
[1598]		帯	⿱{丗,⿻⿱{冖,巾}}
