[210]		一	×一
[360]		乍	⿻×{⿻⿱{𠂉,丨},二}
[361]		仔	⿰{亻,子}
[362]		仕	⿰{亻,士}
[363]		他	⿰{亻,也}
[364]		付	⿰{亻,寸}
[365]		仙	⿰{亻,山}
[366]		代	⿰{亻,弋}
[367]		令	⿻⿱{人,⿱{丶,刀}}(⿻⿱{人,⿱{丶,龴}})(⿱{亽,龴})
[368]		以	⿰{⿻⿺{レ,丶},人}(⿰{⿻⿺{レ,丶},⿻⿸{丿,丶}})
[369]		兄	⿱{口,儿}
[370]		冊	⿻×{𦉫,一}(⿻×{冂,卄})
[371]		写	⿱{冖,与}
[372]		冬	⿻⿱{夂,⺀}
[373]		処	⿺{夂,几}
[374]		凸	⿻⿱{⿻⿰{⿻⿱{丨,一},㇅},凵}
[375]		凹	⿻⿱{⿻⿰{⿻⿰{㇅,丨},一},凵}
[376]		出	⿻⿱{⿻⿱{丨,凵},凵}(⿻⿱{山,凵})
[377]		刊	⿰{干,刂}
[378]		功	⿰{工,力}
[379]		加	⿰{力,口}
[380]		包	⿹{勹,巳}
[381]		匆	⿻⿹{勿,ヽ}
[382]		北	⿰{⿻⿰{⿻⿰{一,丨},㇀},匕}
[383]		半	⿻⿱{丷,⿻×{二,丨}}
[384]		占	⿱{⺊,口}
[385]		卯	⿰{⿻⿰{㇀,𠂈},卩}
[386]		去	⿱{土,厶}
[387]		古	⿱{十,口}
[388]		句	⿹{勹,口}
[389]		叩	⿰{口,卩}
[390]		只	⿱{口,ハ}
[391]		召	⿱{刀,口}
[392]		叮	⿰{口,丁}
[393]		可	⿹{丁,口}
[394]		台	⿱{厶,口}
[395]		叱	⿰{口,匕}
[396]		史	⿻⿱{⿻×{口,丿},㇏}
[397]		右	⿸{𠂇,口}
[398]		叶	⿰{口,十}
[399]		号	⿱{口,丂}
[400]		司	⿹{㇆,⿱{一,口}}
[401]		囚	⿴{囗,人}
[402]		四	⿴{囗,儿}
[403]		圧	⿸{厂,土}
[404]		外	⿰{夕,卜}
[405]		央	⿻×{冂,大}(⿻×{⿻⿱{冂,一},人})
[406]		失	⿻↖{ノ,夫}(⿻⿱{𠂉,大})
[407]		奴	⿰{女,又}
[408]		孕	⿻⿱{乃,子}
[409]		尻	⿸{尸,九}
[410]		尼	⿸{尸,匕}
[411]		左	⿸{𠂇,工}
[412]		巧	⿰{工,丂}
[413]		巨	⿷{匚,コ}
[414]		市	⿱{亠,巾}
[415]		布	⿸{𠂇,巾}
